Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.30000000000000004,0.0005545616149902344,0,0,npl18,3.3768486976623535,0.03281068801879883,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5016434787965702,0.0005545616149902344,0,0,npl18,3.3768486976623535,1.483766794204712,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.504565473054371,0.0005545616149902344,0,0,npl18,3.3768486976623535,0.964749813079834,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5019470158936423,0.0005545616149902344,0,0,npl18,3.3768486976623535,0.29372096061706543,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.45,0.0005166530609130859,0,0,npl18,3.3797287940979004,0.006421089172363281,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5025476496616725,0.0005166530609130859,0,0,npl18,3.3797287940979004,0.7752141952514648,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.48825869204054934,0.0005166530609130859,0,0,npl18,3.3797287940979004,0.22185564041137695,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.49267251228434106,0.0005166530609130859,0,0,npl18,3.3797287940979004,0.2984952926635742,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.25,0.0006694793701171875,0,0,npl18,3.4723942279815674,0.032499074935913086,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5189605523994091,0.0006694793701171875,0,0,npl18,3.4723942279815674,0.6431207656860352,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5207781780153613,0.0006694793701171875,0,0,npl18,3.4723942279815674,0.20590639114379883,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5154284964920333,0.0006694793701171875,0,0,npl18,3.4723942279815674,0.2868776321411133,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.35,0.0004622936248779297,0,0,npl18,4.2375664710998535,0.002466440200805664,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.5019915192161799,0.0004622936248779297,0,0,npl18,4.2375664710998535,0.9428896903991699,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.5067103275020103,0.0004622936248779297,0,0,npl18,4.2375664710998535,0.25771164894104004,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.5058483000617943,0.0004622936248779297,0,0,npl18,4.2375664710998535,0.2212355136871338,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.2,0.00048351287841796875,0,0,npl18,2.991882801055908,0.00725555419921875,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train - Original,0.4972814145164822,0.00048351287841796875,0,0,npl18,2.991882801055908,0.9575788974761963,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Val,0.49826247696081444,0.00048351287841796875,0,0,npl18,2.991882801055908,0.2355203628540039,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Test,0.4984683567694518,0.00048351287841796875,0,0,npl18,2.991882801055908,0.2158815860748291,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ KIP => Original ] -> Onehot,KIP,N/A,original,original,False,centroid,Onehot -> [ KIP => ORI ] -> Onehot
Train,0.5,0.0006597042083740234,0,0,npl18,3.0273215770721436,0.010873794555664062,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC ] -> Onehot
Train - Original,0.48605115567245294,0.0006597042083740234,0,0,npl18,3.0273215770721436,0.9160408973693848,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC ] -> Onehot
Val,0.4878545429087241,0.0006597042083740234,0,0,npl18,3.0273215770721436,0.27179908752441406,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC ] -> Onehot
Test,0.49208526812946196,0.0006597042083740234,0,0,npl18,3.0273215770721436,0.29646897315979004,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC ] -> Onehot
Train,0.44999999999999996,0.0009658336639404297,0,0,npl18,3.165339231491089,0.12092781066894531,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC-BIN ] -> Onehot
Train - Original,0.5019443013688217,0.0009658336639404297,0,0,npl18,3.165339231491089,1.0301926136016846,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC-BIN ] -> Onehot
Val,0.5058684164414708,0.0009658336639404297,0,0,npl18,3.165339231491089,0.22885894775390625,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC-BIN ] -> Onehot
Test,0.5095106530520601,0.0009658336639404297,0,0,npl18,3.165339231491089,0.2146923542022705,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Decoded-Binary ] -> Onehot,KIP,MLP-MultiHead,encoded,decoded,True,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => DEC-BIN ] -> Onehot
Train,0.5,0.0006504058837890625,0,0,npl18,3.5617222785949707,0.00797724723815918,TencentCTRSmall,KNeighborsClassifier,10,onehot,onehot,Onehot -> [ MLP-MultiHead-Encoded => KIP => Encoded ] -> Onehot,KIP,MLP-MultiHead,encoded,encoded,False,centroid,Onehot -> [ [FFN-SFT]-ENC => KIP => ENC ] -> Onehot
