Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,3.694359540939331,0,0,Unknown,22.5484676361084,0.009884357452392578,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Train - Original,0.6249646666257812,3.694359540939331,0,0,Unknown,22.5484676361084,0.08479857444763184,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Val,0.6329394527388907,3.694359540939331,0,0,Unknown,22.5484676361084,0.041971445083618164,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Test,0.6128906264798251,3.694359540939331,0,0,Unknown,22.5484676361084,0.031847476959228516,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Centroid => Original ] -> Onehot,Agglo,N/A,original,original,False,centroid,Onehot -> [ AG/SYN => ORI ] -> Onehot
Train,1.0,0.3381307125091553,0,0,Unknown,22.07757329940796,0.0008440017700195312,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Train - Original,0.5556665114878765,0.3381307125091553,0,0,Unknown,22.07757329940796,0.03818225860595703,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Val,0.5668268952953306,0.3381307125091553,0,0,Unknown,22.07757329940796,0.0263063907623291,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Test,0.5749423223357465,0.3381307125091553,0,0,Unknown,22.07757329940796,0.023438453674316406,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ Agglo / Closest => Original ] -> Onehot,Agglo,N/A,original,original,False,closest,Onehot -> [ AG/REAL => ORI ] -> Onehot
Train,1.0,1.4038946628570557,0,0,Unknown,12.165550708770752,0.0012366771697998047,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC ] -> Onehot
Train - Original,0.5234797937701756,1.4038946628570557,0,0,Unknown,12.165550708770752,0.04181313514709473,AmazonEmployeeAccess,MLPClassifier,10,onehot,onehot,Onehot -> [ GNN-MultiHead-Encoded => Agglo / Centroid => Decoded ] -> Onehot,Agglo,GNN-MultiHead,encoded,decoded,False,centroid,Onehot -> [ [GNN-SFT]-ENC => AG/SYN => DEC ] -> Onehot
