Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,1.0,2.1213138103485107,0,0,Unknown,2.699132204055786,0.0018954277038574219,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.5436695821767096,2.1213138103485107,0,0,Unknown,2.699132204055786,0.04677700996398926,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.5459706935851998,2.1213138103485107,0,0,Unknown,2.699132204055786,0.012326717376708984,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.5387256702153103,2.1213138103485107,0,0,Unknown,2.699132204055786,0.02816009521484375,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,1.0,0.34962964057922363,0,0,Unknown,0.4385685920715332,0.0008482933044433594,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.5642942971663567,0.34962964057922363,0,0,Unknown,0.4385685920715332,0.02651214599609375,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.5660047243321362,0.34962964057922363,0,0,Unknown,0.4385685920715332,0.006552457809448242,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.5657449313157263,0.34962964057922363,0,0,Unknown,0.4385685920715332,0.006474971771240234,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,1.0,0.234788179397583,0,0,Unknown,2.532860517501831,0.0009055137634277344,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.5226136282051215,0.234788179397583,0,0,Unknown,2.532860517501831,0.04664182662963867,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.5240691797720926,0.234788179397583,0,0,Unknown,2.532860517501831,0.016693115234375,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.5226502161695235,0.234788179397583,0,0,Unknown,2.532860517501831,0.018816471099853516,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,1.0,0.34656596183776855,0,0,Unknown,0.42699623107910156,0.0008664131164550781,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.556764210042055,0.34656596183776855,0,0,Unknown,0.42699623107910156,0.027118921279907227,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.5609038880020762,0.34656596183776855,0,0,Unknown,0.42699623107910156,0.006742000579833984,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.553108087581474,0.34656596183776855,0,0,Unknown,0.42699623107910156,0.007032871246337891,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,1.0,0.009947776794433594,0,0,Unknown,3.813007116317749,0.0007033348083496094,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.5243884378900296,0.009947776794433594,0,0,Unknown,3.813007116317749,0.03973698616027832,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.5263515735212825,0.009947776794433594,0,0,Unknown,3.813007116317749,0.008779525756835938,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.5281314602178399,0.009947776794433594,0,0,Unknown,3.813007116317749,0.012089967727661133,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,1.0,0.3462033271789551,0,0,Unknown,0.4967372417449951,0.0009551048278808594,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.5485723744679234,0.3462033271789551,0,0,Unknown,0.4967372417449951,0.027724742889404297,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.5483125895617991,0.3462033271789551,0,0,Unknown,0.4967372417449951,0.007028341293334961,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.5466184753910015,0.3462033271789551,0,0,Unknown,0.4967372417449951,0.006829977035522461,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,1.0,0.21036529541015625,0,0,Unknown,2.9490268230438232,0.0012969970703125,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.5420276339195673,0.21036529541015625,0,0,Unknown,2.9490268230438232,0.040348052978515625,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.5419481240767832,0.21036529541015625,0,0,Unknown,2.9490268230438232,0.00762176513671875,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.5445286474428417,0.21036529541015625,0,0,Unknown,2.9490268230438232,0.011084318161010742,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,1.0,0.34601736068725586,0,0,Unknown,0.4596827030181885,0.0007970333099365234,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.5323844692241058,0.34601736068725586,0,0,Unknown,0.4596827030181885,0.03127574920654297,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.5362578223535489,0.34601736068725586,0,0,Unknown,0.4596827030181885,0.00691986083984375,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.5314932129752321,0.34601736068725586,0,0,Unknown,0.4596827030181885,0.006906986236572266,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,1.0,0.2519567012786865,0,0,Unknown,4.36868953704834,0.0016913414001464844,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.5200051893807933,0.2519567012786865,0,0,Unknown,4.36868953704834,0.0382993221282959,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.5166161315195525,0.2519567012786865,0,0,Unknown,4.36868953704834,0.007888555526733398,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.5269757029210471,0.2519567012786865,0,0,Unknown,4.36868953704834,0.010668516159057617,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,1.0,0.34976768493652344,0,0,Unknown,0.5290968418121338,0.0007658004760742188,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.531194199644313,0.34976768493652344,0,0,Unknown,0.5290968418121338,0.026427030563354492,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.5371566919077082,0.34976768493652344,0,0,Unknown,0.5290968418121338,0.006532430648803711,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.5336309215285671,0.34976768493652344,0,0,Unknown,0.5290968418121338,0.006520748138427734,Higgs,LogisticRegression,10,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,1.0,0.23500728607177734,0,0,Unknown,3.997570037841797,0.0016145706176757812,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.5237664639135435,0.23500728607177734,0,0,Unknown,3.997570037841797,0.05219626426696777,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.5304787589664773,0.23500728607177734,0,0,Unknown,3.997570037841797,0.012212991714477539,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Test,0.5268308738297635,0.23500728607177734,0,0,Unknown,3.997570037841797,0.010535240173339844,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train,0.775,0.3419671058654785,0,0,Unknown,0.5282776355743408,0.00086212158203125,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train - Original,0.5485801365770684,0.3419671058654785,0,0,Unknown,0.5282776355743408,0.027022361755371094,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Val,0.5477565582234398,0.3419671058654785,0,0,Unknown,0.5282776355743408,0.006787300109863281,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Test,0.5444067847170005,0.3419671058654785,0,0,Unknown,0.5282776355743408,0.006713151931762695,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Closest => Original ] -> Mixed,KMeans,N/A,original,original,False,closest,Mixed -> [ KMeans/REAL => ORI ] -> Mixed
Train,1.0,0.23367905616760254,0,0,Unknown,5.013622999191284,0.0011365413665771484,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Train - Original,0.5275653363088855,0.23367905616760254,0,0,Unknown,5.013622999191284,0.05368828773498535,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
Val,0.5353513828247145,0.23367905616760254,0,0,Unknown,5.013622999191284,0.008159160614013672,Higgs,LogisticRegression,20,mixed,mixed,Mixed -> [ KMeans / Centroid => Original ] -> Mixed,KMeans,N/A,original,original,False,centroid,Mixed -> [ KMeans/SYN => ORI ] -> Mixed
