Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Train,0.9,3.656707763671875,0,0,npl26,39.00386691093445,0.005784511566162109,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.5517400033000688,3.656707763671875,0,0,npl26,39.00386691093445,0.019264936447143555,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.5340569888727917,3.656707763671875,0,0,npl26,39.00386691093445,0.016608715057373047,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.5511187281769414,3.656707763671875,0,0,npl26,39.00386691093445,0.010204553604125977,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.95,34.17407202720642,0,0,npl26,27.114425897598267,0.06903505325317383,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.6038397227942245,34.17407202720642,0,0,npl26,27.114425897598267,0.07364773750305176,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.5971136227114178,34.17407202720642,0,0,npl26,27.114425897598267,0.05826544761657715,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.5975221070491361,34.17407202720642,0,0,npl26,27.114425897598267,0.041155338287353516,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.8500000000000001,32.39589333534241,0,0,npl26,26.878491640090942,0.019642353057861328,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.5492458124940371,32.39589333534241,0,0,npl26,26.878491640090942,0.037923574447631836,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.5508676883574033,32.39589333534241,0,0,npl26,26.878491640090942,0.0242307186126709,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.5556338364765837,32.39589333534241,0,0,npl26,26.878491640090942,0.03411865234375,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.95,28.67586660385132,0,0,npl26,26.071690797805786,0.1264359951019287,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.599482298089005,28.67586660385132,0,0,npl26,26.071690797805786,0.058359622955322266,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.5897855745075373,28.67586660385132,0,0,npl26,26.071690797805786,0.04918622970581055,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.61980528825756,28.67586660385132,0,0,npl26,26.071690797805786,0.08318114280700684,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,0.8500000000000001,34.32759499549866,0,0,npl26,27.3942973613739,0.04740333557128906,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train - Original,0.548627441086668,34.32759499549866,0,0,npl26,27.3942973613739,0.06253981590270996,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Val,0.5483879177330311,34.32759499549866,0,0,npl26,27.3942973613739,0.04655122756958008,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Test,0.5407324104279452,34.32759499549866,0,0,npl26,27.3942973613739,0.06508684158325195,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ GM => Original ] -> Onehot,GM,N/A,original,original,False,centroid,Onehot -> [ GM => ORI ] -> Onehot
Train,1.0,19.80043339729309,0,0,npl26,26.162267684936523,0.05065608024597168,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ MLP-Encoded => GM => Decoded ] -> Onehot,GM,MLP,encoded,decoded,False,centroid,Onehot -> [ FFN-ENC => GM => DEC ] -> Onehot
Train - Original,0.5288723682459149,19.80043339729309,0,0,npl26,26.162267684936523,0.0797281265258789,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ MLP-Encoded => GM => Decoded ] -> Onehot,GM,MLP,encoded,decoded,False,centroid,Onehot -> [ FFN-ENC => GM => DEC ] -> Onehot
Val,0.5180310242651549,19.80043339729309,0,0,npl26,26.162267684936523,0.05447053909301758,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ MLP-Encoded => GM => Decoded ] -> Onehot,GM,MLP,encoded,decoded,False,centroid,Onehot -> [ FFN-ENC => GM => DEC ] -> Onehot
Test,0.5090508513190534,19.80043339729309,0,0,npl26,26.162267684936523,0.04467964172363281,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ MLP-Encoded => GM => Decoded ] -> Onehot,GM,MLP,encoded,decoded,False,centroid,Onehot -> [ FFN-ENC => GM => DEC ] -> Onehot
Train,0.8500000000000001,32.32522511482239,0,0,npl26,25.787013292312622,0.06927871704101562,BankMarketing,XGBClassifier,10,onehot,onehot,Onehot -> [ MLP-Encoded => GM => Decoded-Binary ] -> Onehot,GM,MLP,encoded,decoded,True,centroid,Onehot -> [ FFN-ENC => GM => DEC-BIN ] -> Onehot
